iter	Passed	Remaining
609	1475	943
610	1476	940
611	1477	936
612	1479	934
613	1481	931
614	1482	928
615	1483	924
616	1485	921
617	1486	918
618	1488	916
619	1489	913
620	1490	909
621	1491	906
622	1493	903
623	1494	900
624	1495	897
625	1496	894
626	1497	890
627	1498	887
628	1499	884
629	1500	881
630	1503	878
631	1504	876
632	1505	872
633	1506	869
634	1507	866
635	1508	863
636	1509	860
637	1511	857
638	1512	854
639	1513	851
640	1514	848
641	1515	844
642	1517	842
643	1518	839
644	1519	836
645	1520	833
646	1521	830
647	1523	827
648	1524	824
649	1525	821
650	1526	818
651	1527	815
652	1528	812
653	1529	809
654	1530	806
655	1532	803
656	1533	800
657	1534	797
658	1536	794
659	1537	791
660	1538	788
661	1539	785
662	1540	782
663	1541	780
664	1542	777
665	1543	774
666	1544	771
667	1546	768
668	1547	765
669	1549	763
670	1550	760
671	1552	757
672	1553	754
673	1554	751
674	1555	749
675	1556	746
676	1557	743
677	1558	740
678	1559	737
679	1562	735
680	1563	732
681	1564	729
682	1565	726
683	1566	723
684	1567	721
685	1569	718
686	1570	715
687	1571	712
688	1572	709
689	1573	706
690	1574	704
691	1576	701
692	1578	699
693	1579	696
694	1580	693
695	1581	690
696	1582	688
697	1583	685
698	1584	682
699	1586	679
700	1587	676
701	1588	674
702	1589	671
703	1591	669
704	1593	666
705	1594	663
706	1595	661
707	1596	658
708	1597	655
709	1598	652
710	1599	650
711	1600	647
712	1601	644
713	1603	642
714	1607	640
715	1608	638
716	1610	635
717	1611	633
718	1612	630
719	1613	627
720	1615	624
721	1616	622
722	1617	619
723	1618	616
724	1619	614
725	1621	611
726	1622	609
727	1623	606
728	1624	604
729	1626	601
730	1627	598
731	1628	596
732	1629	593
733	1630	590
734	1631	588
735	1632	585
736	1634	583
737	1635	580
738	1637	578
739	1638	575
740	1639	573
741	1641	570
742	1642	568
743	1643	565
744	1644	562
745	1645	560
746	1646	557
747	1647	555
748	1648	552
749	1651	550
750	1652	547
751	1653	545
752	1655	542
753	1656	540
754	1657	537
755	1658	535
756	1659	532
757	1660	530
758	1661	527
759	1662	525
760	1664	522
761	1666	520
762	1667	517
763	1668	515
764	1669	512
765	1670	510
766	1671	507
767	1673	505
768	1674	502
769	1675	500
770	1676	497
771	1677	495
772	1678	492
773	1680	490
774	1682	488
775	1683	485
776	1684	483
777	1685	481
778	1686	478
779	1687	476
780	1689	473
781	1690	471
782	1691	468
783	1692	466
784	1693	463
785	1695	461
786	1696	459
787	1697	456
788	1698	454
789	1699	451
790	1700	449
791	1701	446
792	1702	444
793	1704	442
794	1705	439
795	1706	437
796	1707	434
797	1708	432
798	1709	430
799	1711	427
800	1712	425
801	1713	423
802	1714	420
803	1716	418
804	1717	415
805	1718	413
806	1719	411
807	1720	408
808	1721	406
809	1722	404
810	1723	401
811	1725	399
812	1727	397
813	1728	395
814	1729	392
815	1730	390
816	1731	387
817	1732	385
818	1734	383
819	1735	380
820	1736	378
821	1737	376
822	1738	373
823	1740	371
824	1741	369
825	1743	367
826	1744	364
827	1745	362
828	1746	360
829	1747	358
830	1749	355
831	1750	353
832	1751	351
833	1752	348
834	1754	346
835	1756	344
836	1757	342
837	1758	339
838	1759	337
839	1760	335
840	1761	333
841	1763	330
842	1764	328
843	1766	326
844	1770	324
845	1771	322
846	1772	320
847	1773	317
848	1775	315
849	1776	313
850	1777	311
851	1778	308
852	1779	306
853	1780	304
854	1781	302
855	1783	300
856	1784	297
857	1786	295
858	1787	293
859	1788	291
860	1789	288
861	1790	286
862	1791	284
863	1792	282
864	1793	279
865	1794	277
866	1795	275
867	1796	273
868	1798	271
869	1800	269
870	1801	266
871	1802	264
872	1803	262
873	1804	260
874	1805	257
875	1806	255
876	1807	253
877	1808	251
878	1810	249
879	1811	246
880	1812	244
881	1814	242
882	1815	240
883	1817	238
884	1818	236
885	1819	234
886	1820	231
887	1821	229
888	1822	227
889	1824	225
890	1825	223
891	1826	221
892	1828	219
893	1829	216
894	1830	214
895	1832	212
896	1833	210
897	1835	208
898	1836	206
899	1837	204
900	1838	202
901	1839	199
902	1840	197
903	1842	195
904	1844	193
905	1845	191
906	1846	189
907	1847	187
908	1849	185
909	1850	182
910	1851	180
911	1852	178
912	1853	176
913	1854	174
914	1855	172
915	1858	170
916	1859	168
917	1860	166
918	1861	164
919	1862	161
920	1864	159
921	1865	157
922	1866	155
923	1867	153
924	1868	151
925	1869	149
926	1870	147
927	1872	145
928	1873	143
929	1874	141
930	1875	139
931	1876	136
932	1877	134
933	1878	132
934	1879	130
935	1881	128
936	1882	126
937	1883	124
938	1884	122
939	1885	120
940	1887	118
941	1888	116
942	1889	114
943	1890	112
944	1891	110
945	1894	108
946	1895	106
947	1896	104
948	1897	101
949	1898	99
950	1899	97
951	1902	95
952	1903	93
953	1904	91
954	1905	89
955	1907	87
956	1908	85
957	1910	83
958	1912	81
959	1913	79
960	1914	77
961	1917	75
962	1919	73
963	1920	71
964	1921	69
965	1922	67
966	1923	65
967	1924	63
968	1925	61
969	1926	59
970	1927	57
971	1928	55
972	1930	53
973	1932	51
974	1933	49
975	1934	47
976	1936	45
977	1937	43
978	1938	41
979	1939	39
980	1941	37
981	1942	35
982	1943	33
983	1944	31
984	1946	29
985	1948	27
986	1949	25
987	1950	23
988	1951	21
989	1952	19
990	1953	17
991	1955	15
992	1956	13
993	1957	11
994	1958	9
995	1959	7
996	1960	5
997	1961	3
998	1963	1
999	1964	0
